Logging sensor data. Press Ctrl+C to stop.
Data opgeslagen: Temp=21.27, Wind=0.00 km/h
Data opgeslagen: Temp=21.28, Wind=0.00 km/h
Data opgeslagen: Temp=21.31, Wind=0.00 km/h
Data opgeslagen: Temp=21.34, Wind=0.00 km/h
Data opgeslagen: Temp=21.38, Wind=0.00 km/h
Data opgeslagen: Temp=21.41, Wind=0.00 km/h
Data opgeslagen: Temp=21.44, Wind=0.00 km/h
Data opgeslagen: Temp=21.47, Wind=0.00 km/h
Data opgeslagen: Temp=21.50, Wind=0.00 km/h
Data opgeslagen: Temp=21.53, Wind=0.00 km/h
Data opgeslagen: Temp=21.56, Wind=0.00 km/h
Data opgeslagen: Temp=21.58, Wind=0.00 km/h
Data opgeslagen: Temp=21.60, Wind=0.00 km/h
Data opgeslagen: Temp=21.62, Wind=0.00 km/h
Data opgeslagen: Temp=21.64, Wind=0.00 km/h
Data opgeslagen: Temp=21.66, Wind=0.00 km/h
Data opgeslagen: Temp=21.67, Wind=0.00 km/h
Data opgeslagen: Temp=21.69, Wind=0.00 km/h
Data opgeslagen: Temp=21.70, Wind=0.00 km/h
Data opgeslagen: Temp=21.72, Wind=0.00 km/h
Data opgeslagen: Temp=21.73, Wind=0.00 km/h
Data opgeslagen: Temp=21.74, Wind=0.00 km/h
Data opgeslagen: Temp=21.76, Wind=0.00 km/h
Data opgeslagen: Temp=21.77, Wind=0.00 km/h
Data opgeslagen: Temp=21.78, Wind=0.00 km/h
Data opgeslagen: Temp=21.79, Wind=0.00 km/h
Data opgeslagen: Temp=21.80, Wind=0.00 km/h
Data opgeslagen: Temp=21.81, Wind=0.00 km/h
Data opgeslagen: Temp=21.81, Wind=0.00 km/h
Data opgeslagen: Temp=21.82, Wind=0.00 km/h
Data opgeslagen: Temp=21.83, Wind=0.00 km/h
Data opgeslagen: Temp=21.84, Wind=0.00 km/h
Data opgeslagen: Temp=21.84, Wind=0.00 km/h
Data opgeslagen: Temp=21.85, Wind=0.00 km/h
Data opgeslagen: Temp=21.85, Wind=0.00 km/h
Data opgeslagen: Temp=21.86, Wind=0.00 km/h
Data opgeslagen: Temp=21.87, Wind=0.00 km/h
Data opgeslagen: Temp=21.87, Wind=0.00 km/h
Data opgeslagen: Temp=21.87, Wind=0.00 km/h
Data opgeslagen: Temp=21.88, Wind=0.00 km/h
Data opgeslagen: Temp=21.88, Wind=0.00 km/h
Data opgeslagen: Temp=21.88, Wind=0.00 km/h
Data opgeslagen: Temp=21.88, Wind=0.00 km/h
Data opgeslagen: Temp=21.89, Wind=0.00 km/h
Data opgeslagen: Temp=21.89, Wind=0.00 km/h
Data opgeslagen: Temp=21.89, Wind=0.00 km/h
Data opgeslagen: Temp=21.90, Wind=0.00 km/h
Data opgeslagen: Temp=21.90, Wind=0.00 km/h
Data opgeslagen: Temp=21.90, Wind=0.00 km/h
Data opgeslagen: Temp=21.91, Wind=0.00 km/h
Data opgeslagen: Temp=21.91, Wind=0.00 km/h
Data opgeslagen: Temp=21.91, Wind=0.00 km/h
Data opgeslagen: Temp=21.92, Wind=0.00 km/h
Data opgeslagen: Temp=21.92, Wind=0.00 km/h
Data opgeslagen: Temp=21.92, Wind=0.00 km/h
Data opgeslagen: Temp=21.93, Wind=0.00 km/h
Data opgeslagen: Temp=21.93, Wind=0.00 km/h
Data opgeslagen: Temp=21.93, Wind=0.00 km/h
Data opgeslagen: Temp=21.94, Wind=0.00 km/h
Data opgeslagen: Temp=21.94, Wind=0.00 km/h
Data opgeslagen: Temp=21.94, Wind=0.00 km/h
Data opgeslagen: Temp=21.95, Wind=0.00 km/h
Data opgeslagen: Temp=21.95, Wind=0.00 km/h
Data opgeslagen: Temp=21.95, Wind=0.00 km/h
Data opgeslagen: Temp=21.95, Wind=0.00 km/h
Data opgeslagen: Temp=21.95, Wind=0.00 km/h
Data opgeslagen: Temp=21.95, Wind=0.00 km/h
Data opgeslagen: Temp=21.95, Wind=0.00 km/h
Data opgeslagen: Temp=21.96, Wind=0.00 km/h
Data opgeslagen: Temp=21.96, Wind=0.00 km/h
Data opgeslagen: Temp=21.96, Wind=0.00 km/h
Data opgeslagen: Temp=21.96, Wind=0.00 km/h
Data opgeslagen: Temp=21.96, Wind=0.00 km/h
Data opgeslagen: Temp=21.96, Wind=0.00 km/h
Data opgeslagen: Temp=21.97, Wind=0.00 km/h
Data opgeslagen: Temp=21.97, Wind=0.00 km/h
Data opgeslagen: Temp=21.97, Wind=0.00 km/h
Data opgeslagen: Temp=21.97, Wind=0.00 km/h
Data opgeslagen: Temp=21.98, Wind=0.00 km/h
Data opgeslagen: Temp=21.98, Wind=0.00 km/h
Data opgeslagen: Temp=21.98, Wind=0.00 km/h
Data opgeslagen: Temp=21.98, Wind=0.00 km/h
Data opgeslagen: Temp=21.98, Wind=0.00 km/h
Data opgeslagen: Temp=21.99, Wind=0.00 km/h
Data opgeslagen: Temp=21.99, Wind=0.00 km/h
Data opgeslagen: Temp=21.99, Wind=0.00 km/h
Data opgeslagen: Temp=21.99, Wind=0.00 km/h
Data opgeslagen: Temp=21.99, Wind=0.00 km/h
Data opgeslagen: Temp=21.99, Wind=0.00 km/h
Data opgeslagen: Temp=21.99, Wind=0.00 km/h
Data opgeslagen: Temp=21.99, Wind=0.00 km/h
Data opgeslagen: Temp=21.99, Wind=0.00 km/h
Data opgeslagen: Temp=21.99, Wind=0.00 km/h
Data opgeslagen: Temp=21.99, Wind=0.00 km/h
Data opgeslagen: Temp=22.00, Wind=0.00 km/h
Data opgeslagen: Temp=22.00, Wind=0.00 km/h
Data opgeslagen: Temp=22.00, Wind=0.00 km/h
Data opgeslagen: Temp=22.00, Wind=0.00 km/h
Data opgeslagen: Temp=22.00, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.00, Wind=0.00 km/h
Data opgeslagen: Temp=22.00, Wind=0.00 km/h
Data opgeslagen: Temp=22.00, Wind=0.00 km/h
Data opgeslagen: Temp=22.00, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
Data opgeslagen: Temp=22.01, Wind=0.00 km/h
